Title,Type,Department,Medium,Year~,Artist
The Infanta,Figure,European Sculpture and Decorative Arts,Glazed stoneware,1899,Jean-Joseph Carriès
Augustus the Strong,Figure,European Sculpture and Decorative Arts,Stoneware,1718,Meissen Manufactory
Monumental vase,Vase,European Sculpture and Decorative Arts,Glazed stoneware,1900,Georges Hoentschel
Ewer in the Form of a Phoenix,Ewer,Asian Art,Stoneware with underglaze cobalt blue decoration,1599,
Dish with Recumbent Elephant Surrounded by Clouds,Dish,Asian Art,Stoneware with underglaze cobalt-blue decoration,1599,
Bottle with Birds and Peony Scroll,Bottle,Asian Art,Stoneware painted with cobalt blue under transparent glaze,1499,
Footed Jar,Jar,Asian Art,Stoneware,1199,
Bottle,Bottle,Asian Art,Stoneware,1133,
Vase,Vase,Modern and Contemporary Art,Stoneware,1950,Axel Salto
"Shino Tea Bowl with Bridge and Shrine, Known as “Bridge of the Gods” (Shinkyō)",Teabowl,Asian Art,"Stoneware with iron oxide under glaze (Mino ware, Shino type)",1633,
Covered Cylinderical Jar,Jar,Asian Art,Stoneware,1099,
Untitled,Vessel,Modern and Contemporary Art,Stoneware,1957,Ken Price
Covered Jar,Covered jar,Asian Art,Stoneware,1199,
Lime Pot in the Form of an Elephant,Lime pot,Asian Art,Stoneware,1199,
"Architectural tile with apsara, from the “Porcelain Pagoda”",Tile,Asian Art,Glazed stoneware,1430,
"Door frame tile with elephant from the ""Porcelain Pagoda""",Tile,Asian Art,Glazed stoneware,1430,
Spring Snow 22H-2,Vessel,Asian Art,Glazed Shigaraki stoneware,2022,Hoshino Satoru
Teapot in the Shape of a Plum Blossom,Teapot,Asian Art,Stoneware (Yixing ware),1633,Shi Dabin
Work (Mask),Mask,Asian Art,Unglazed Bizen stoneware,1952,Isamu Noguchi
Vessel with Women and Goats,Vessel,European Sculpture and Decorative Arts,Stoneware,1892,Paul Gauguin
Vase with goat masks,Vase,European Sculpture and Decorative Arts,Stoneware,1899,Christopher Dresser
Vase,Vase,European Sculpture and Decorative Arts,Stoneware,1895,Auguste Delaherche
Large Storage Jar (Ōtsubo),Jar,Asian Art,Stoneware with natural ash glaze (Tokoname ware),1573,
Vase,Vase,European Sculpture and Decorative Arts,Stoneware,1890,Factory of Olivier de Sorra
Vase with tendrils,Vase,European Sculpture and Decorative Arts,Glazed stoneware,1899,Edmond Lachenal
Vase soliflore,Vase,European Sculpture and Decorative Arts,Glazed stoneware,1900,Jean-Joseph Carriès
Gourd vase,Vase,European Sculpture and Decorative Arts,Stoneware,1895,Jean-Joseph Carriès
Head of Mercury,Relief,European Sculpture and Decorative Arts,Glazed stoneware,1900,Emmanuel Hannaux
Untitled MV-202 (Metavoid-202),Sculpture,Asian Art,Unglazed stoneware with rusted iron coating,2020,Akiyama Yō 秋山陽
Covered Vessel (Futamono) with Plum Tree,Vessel,Asian Art,"Stoneware with iron brown under transparent glaze and copper-green glaze (Mino ware, Oribe type)",1633,
Sherd,Sherd,Asian Art,Stoneware; Guan ware,1279,
Vase,Vase,Asian Art,White stoneware with translucent glaze,1599,
Flask,Flask,Asian Art,Stoneware with splashed glaze (Jun ware),899,
Pantaloon,Figure,European Sculpture and Decorative Arts,"Red stoneware, partially polished",1718,Meissen Manufactory
Vase,Vase,European Sculpture and Decorative Arts,"Stoneware, clay, gilt",1886,Haviland & Co.
Wine Ewer with Chrysanthemums and Lotus Flowers,Ewer,Asian Art,Stoneware with inlaid decoration under celadon glaze,1249,
Covered box decorated with chrysanthemums and waterfowl among lotus,Covered box,Asian Art,Stoneware with inlaid design under celadon glaze,1299,
Maebyeong (plum bottle) decorated with cranes and clouds,Vase,Asian Art,Stoneware with inlaid decoration under celadon glaze,1199,
Candle Stand in the Shape of a Fantastic Animal,Candle stand,Asian Art,Stoneware with green glaze,316,
Jar with loop handles,Jar,Asian Art,Stoneware with olive celadon glaze,699,
Maebyeong (plum bottle) decorated with cranes and clouds,Vase,Asian Art,Stoneware with inlaid design under celadon glaze,1299,
Tripod incense burner with archaistic patterns,Incense burner,Asian Art,Stoneware with molded decoration under celadon glaze (Yaozhou ware),1199,
Vase,Vase,Modern and Contemporary Art,Stoneware,1930,Emile Decoeur
Vase,Vase,Modern and Contemporary Art,Stoneware,1905,Auguste Delaherche
Bottle with Waves and Auspicious Emblems,Bottle,Asian Art,Stoneware painted with cobalt blue under transparent glaze,1399,
Guanyin,Figure,European Sculpture and Decorative Arts,Red stoneware with gilding,1713,Meissen Manufactory
Bottle with characters,Bottle,Asian Art,Glazed stoneware (Cizhou ware),1299,
Recumbent deer,Statuette,Asian Art,Stoneware (Yixing ware),1799,
Bowl,Bowl,Modern and Contemporary Art,Stoneware,1952,Gertrud Natzler
Lime Pot with Chicken Head and Tail,Lime pot,Asian Art,Stoneware (Khmer ware),1099,
Untitled (Makaha Blue),Sculpture,Modern and Contemporary Art,Stoneware,1997,Toshiko Takaezu
Digable Underground,Vase,Modern and Contemporary Art,"Glazed stoneware, enamel paint, and luster",2021,Roberto Lugo
Buddhist Divinity,Figure,European Sculpture and Decorative Arts,Stoneware,1715,Meissen Manufactory
Recumbent bottle (Yokobe),Bottle,Asian Art,Stoneware with natural ash glaze (Sue ware),599,
Marbled covered box,Box,Asian Art,Stoneware with celadon glaze,1299,
Amphora with dragon-shaped handles,Amphora,Asian Art,Stoneware with white glaze,699,
Vase in the shape of an archaic bronze vessel (gu),Vase,Asian Art,Stoneware with relief decoration (Yixing ware),1799,Chen Jinhou
Vase des Binelles,Vase,Modern and Contemporary Art,Stoneware,1903,Hector Guimard
Double Spouted Vase,Double Spouted Vase,Modern and Contemporary Art,Glazed stoneware,1963,Toshiko Takaezu
Flask with face,Flask,European Sculpture and Decorative Arts,Glazed stoneware,1895,Jean-Joseph Carriès
Vessel,Vessel,Modern and Contemporary Art,"Stoneware, raku firing",1964,Paul Soldner
Serving Dish (Hirabachi) with Circular Patterns (Botan-mochi),Serving dish,Asian Art,Stoneware with natural ash glaze (Bizen ware),1633,
Le Grenouillard (The Frog Man),Group,European Sculpture and Decorative Arts,Glazed stoneware,1896,Jean-Joseph Carriès
Tankard with woman seated,Tankard,European Sculpture and Decorative Arts,Stoneware,1890,Haviland & Co.
Tankard with man drinking from jug,Tankard,European Sculpture and Decorative Arts,Stoneware,1890,Haviland & Co.
Vase with flowers,Vase,European Sculpture and Decorative Arts,Stoneware,1900,Albert-Louis Dammouse
Bowl with dragons amid waves,Bowl,Asian Art,Stoneware with carved and incised decoration under celadon glaze (Yue ware),1099,
Bowl with two panthers,Bowl,European Sculpture and Decorative Arts,Stoneware,1895,Pierre-Adrien Dalpayrat
Jug with Assyrian-inspired decoration,Jug,Ancient West Asian Art,Stoneware,1860,
Vase with reaper,Vase,European Sculpture and Decorative Arts,Stoneware,1890,Haviland & Co.
Bottle with a thistle medallion,Bottle,European Sculpture and Decorative Arts,Salt-glazed stoneware,1680,John Dwight
Brighella on a pedestal,Figure,European Sculpture and Decorative Arts,Stoneware with unfired colors,1713,Meissen Manufactory
Jug,Jug,European Sculpture and Decorative Arts,Salt-glazed stoneware,1902,Richard Riemerschmid
"Clouds, large plate with trailed glaze",Plate,Asian Art,Stoneware with slip inlay and trailed glaze design,1991,Shimaoka Tatsuzō
Lizard,Statuette,European Sculpture and Decorative Arts,Glazed stoneware,1892,Emmanuel Frémiet
Bellarmine jug,Bellarmine jug,European Sculpture and Decorative Arts,Salt-glazed stoneware,1680,
Jug,Jug,The Cloisters,Partially salt-glazed stoneware,1450,
Jug,Jug,European Sculpture and Decorative Arts,Salt-glazed stoneware,1699,
Meiping,Meiping,Asian Art,Stoneware with underglaze cobalt blue decoration,1399,
Hexagonal Jar (Rokkaku-tsubo) with Paulownia and Geometric Design,Brazier,Asian Art,Stoneware with polychrome overglaze enamels and gold (Ko-Kiyomizu ware),1799,
Teapot with King George III (1738–1820) and Queen Charlotte (1744–1818),Teapot with cover,European Sculpture and Decorative Arts,Red stoneware,1766,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1755,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1760,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1755,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1755,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Dish,Dish,Asian Art,Glazed stoneware (Cizhou-type ware),1199,
Vase,Vase,The American Wing,Stoneware,1879,Susan S. G. Frackelton
"Bowl with flowers, waves, and a cloud",Teabowl,Asian Art,Stoneware with incised design under celadon glaze,1199,
"Bowl with flowers, waves, and a cloud",Bowl,Asian Art,Stoneware with incised design under celadon glaze,1199,
Teapot in the form of a house,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot in the form of a house,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1755,
Bear bottle (one of a pair),Bottle,European Sculpture and Decorative Arts,Salt-glazed stoneware,1755,
Bear bottle (one of a pair),Bottle,European Sculpture and Decorative Arts,Salt-glazed stoneware,1755,
Teapot in the form of a camel,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot in the form of a camel,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot in the form of a house,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot in the form of a camel,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot in the form of an octagonal pavilion,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Teapot in the form of a monkey,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1750,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware,1745,
Vase,Vase,Asian Art,Stoneware with crackled celadon glaze (Guan ware),1299,
Jar (Guan),Jar,Asian Art,Stoneware with impressed and carved decoration,-200,
Jar,Jar,Modern and Contemporary Art,Stoneware and solder,1988,Paul Chaleff
Bowl,Bowl,Asian Art,Stoneware with white slip and glaze,899,
Pelt,,Modern and Contemporary Art,"Wood-fired stoneware, porcelain, slips, glaze, lustre",2012,Gareth Mason
"Bowl decorated with phoenixes, clouds, and chrysanthemums",Bowl,Asian Art,Stoneware with inlaid design under celadon glaze,1333,
Hexagonal flower vase,Vase,Asian Art,Stoneware with persimmon glaze and polychrome overglaze enamels,1969,Hamada Shōji
Brush washer,Brush washer,Asian Art,Stoneware with crackled glaze (Ge ware),1368,
Tile decorated with birds and flowers,Tile,Asian Art,Stoneware with inlaid design under celadon glaze,1299,
Vessel with dripping black ink patterns (Sumi nagashi tsubo),Vase,Asian Art,Stoneware with white slip and black glaze,1964,Kondō Yutaka
Flowerpot,Flowerpot,Asian Art,Stoneware with variegated purple glaze (Jun ware),1433,
Bowl,Bowl,European Sculpture and Decorative Arts,"Stoneware, silver-gilt, bronze",1895,Lucien Lévy-Dhurmer
Storage Jar (Tsubo,Jar,Asian Art,Stoneware with natural ash glaze (Echizen ware),1199,
"Bowl decorated with cranes, rain, and chrysanthemums",Bowl,Asian Art,Stoneware with inlaid design under celadon glaze,1333,
Vase in Meiping Shape,Vase,Asian Art,Stoneware with white glaze (Cizhou ware),1199,
Plate,Plate,Modern and Contemporary Art,Stoneware,1994,Warren MacKenzie
The Whistlers,Sculpture,Modern and Contemporary Art,"Stoneware, paint, pastel, synthetic hair",2005,Tip Toland
Jar in the form of a bird,Figure,European Sculpture and Decorative Arts,Glazed stoneware with wood mount,1888,R. W. Martin and Brothers
Jar (Tsubo) with Chrysanthemums,Jar,Asian Art,Ash-glazed stoneware with stamped decoration (Ko-Seto ware),1450,
Platter (Ōzara) with Pine Tree,Platter,Asian Art,"Stoneware with underglaze iron oxide decoration (Hizen ware, Karatsu type)",1615,
"Black Seto (Seto-guro) Tea Bowl, named Iron Mallet (Tettsui)",Teabowl,Asian Art,"Stoneware with black glaze (Mino ware, Black Seto type)",1599,
Incense burner,Incense burner,Asian Art,Stoneware with relief decoration under colored glazes,1512,
Arhat (Luohan),Figure,Asian Art,Stoneware with three-color glaze,1010,
Bowl,Bowl,Asian Art,Stoneware with celadon glaze (Longquan ware); gold lacquer repairs,1279,
Dish with Peonies,Dish,Asian Art,Stoneware with incised decoration under celadon glaze (Longquan ware),1433,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with underglaze blue,1755,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1785,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1755,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Punch pot,Punch pot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Footed teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with gilding,1755,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Used-Water Container (Kensui),Used-Water Container (Kensui),Asian Art,Stoneware with iron glaze (Takatori ware),1866,
Tankard,Tankard,European Sculpture and Decorative Arts,Salt-glazed stoneware; pewter,1615,
Bowl with boys and grapevines,Bowl,Asian Art,Stoneware with mold-impressed design under celadon glaze,1299,
Tea Caddy (Chaire) in Taikai Shape,Tea caddy,Asian Art,Stoneware with natural ash glaze; ivory lid (Shigaraki type),1599,
Teapot in the form of a cabbage,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1765,
Punch pot with Bacchus,Punch pot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot with portrait of Frederick the Great of Prussia (1712–1786),Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Bowl,Bowl,Asian Art,Stoneware with blue glaze and copper-red splash (Jun ware),1399,
Brush washer with lotus,Brush washer,Asian Art,Stoneware with incised decoration under a celadon glaze (Longquan ware),1399,
Tea bowl,Bowl,Asian Art,"Stoneware with celadon glaze (Longquan ware), gold lacquer repairs",1279,
"Teapot with portrait of the Young Pretender, Prince Charles Edward Stuart (1720–1788)",Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Teapot with portrait of Frederick the Great of Prussia (1712–1786),Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Vase with abstract decoration,Vase,Asian Art,Stoneware with carved and incised design under celadon glaze (Cizhou ware),1368,
Meiping vase with dragon,Vase,Asian Art,Stoneware with incised decoration under celadon glaze (Longquan ware),1399,
Small Jar (Kotsubo),Jar,Asian Art,Stoneware with ash glaze (Karatsu ware); gold lacquer repairs,1615,
Foliated plate with lotus,Plate,Asian Art,Stoneware with incised decoration under celadon glaze (Longquan ware),1499,
Bowl with two fish,Bowl,Asian Art,Stoneware with celadon glaze and biscuit relief (Longquan ware),1299,
Pillow with a falcon attacking a swan,Pillow,Asian Art,Stoneware painted with brown and black pigment on white slip under transparent glaze (Cizhou ware),1350,
Amphora with dragon-shaped handles,Amphora,Asian Art,Stoneware with raised decoration and pale buff glaze,699,
Teapot in the form of a house,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1760,
Teapot,Teapot with cover,European Sculpture and Decorative Arts,Black basalt (unglazed stoneware),1790,Josiah Wedgwood and Sons
Jar with Mythical Qilin (Kirin) and Chrysanthemums,Jar,Asian Art,Stoneware painted with colored enamels over transparent glaze (Hizen ware),1680,
Bottle vase,Bottle vase,Asian Art,Stoneware with celadon glaze (Longquan ware); gold lacquer repairs,1279,
Pouring vessel (Kendi),Pouring vessel,European Sculpture and Decorative Arts,Stoneware with raised decoration,1717,Meissen Manufactory
Tea bowl,Tea bowl,Asian Art,Stoneware with “hare’s-fur” glaze (Jian ware),1199,
Bowl with two boys and lotuses,Bowl,Asian Art,Stoneware with mold-impressed design under celadon glaze,1133,
Plate with Peonies,Plate,Asian Art,Stoneware painted with cobalt blue under transparent glaze,1499,
Black tea bowl,Teabowl,Asian Art,"Stoneware with iron glaze (Mino ware, Black Oribe type)",2002,Tsujimura Shirō
Jug,Jug,European Sculpture and Decorative Arts,"Salt-glazed stoneware, pewter",1602,
Cup with handle,Cup,Asian Art,Stoneware with inlaid and molded decoration under celadon glaze,1299,
Quadrangular vase in the shape of a Neolithic cong,Cong-form vase,Asian Art,Stoneware with celadon glaze (Longquan ware),1299,
Bowl with boys and grapevines,Bowl,Asian Art,Stoneware with inlaid and mold-impressed design under celadon glaze,1299,
Teapot with fossil decoration,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with enamel decoration,1770,
Funerary Urn (Hunping),Funerary urn,Asian Art,Stoneware with olive green glaze (Yue ware),316,
Small Jar,Jar,Asian Art,"Porcelaneous stoneware with white glaze (Hizen ware, Arita type)",1650,
Small Jar,Jar,Asian Art,"Porcelaneous stoneware with white glaze (Hizen ware, Arita type)",1650,
"Freshwater Jar (Mizusashi), Named “Hotei”",Freshwater jar,Asian Art,Stoneware with natural ash glaze (Iga ware),1600,
Clog-shaped tea bowl (kutsu-gata chawan) with plum blossoms and geometric patterns,Teabowl,Asian Art,"Stoneware with iron-oxide decoration (Mino ware, Black Oribe type)",1633,
Sake Bottle (Tokkuri) in the Shape of an Eggplant,Bottle,Asian Art,Stoneware with iridescent iron glaze and rice straw ash (Bairin ware),1899,
Large Dish (Ōzara) with Plants,Dish,Asian Art,"Porcelaneous stoneware with celadon glaze (Arita ware, Ko Imari type)",1650,
Pail‑shaped freshwater jar (Onioke mizusashi),Freshwater jar (mizusashi),Asian Art,Stoneware with natural ash glaze (Shigaraki ware),1573,
Ishizara with Horse and “Horse-Eye” Pattern,Plate,Asian Art,Stoneware with iron brown under transparent glaze (Seto ware),1833,
Ewer (Suichū) with Cherry Blossoms and Picnic Curtain,Ewer,Asian Art,"Stoneware with iron underglaze and copper-green glaze (Mino ware, Narumi Oribe type)",1633,
Set of five plates with bamboo grasses in snow,Plates,Asian Art,Stoneware with overglaze enamels and underglaze iron stain,1959,Kitaōji Rosanjin 北大路魯山人
Ishizara with “Horse-Eye” Pattern,Plate,Asian Art,Stoneware with iron brown under transparent glaze (Seto ware),1833,
Dish with peony design,Dish,Asian Art,Stoneware with cobalt blue painted floral decoration,1599,
Large Storage Jar (Ōtsubo),Storage jar,Asian Art,Stoneware with natural ash glaze (Shigaraki ware),1499,
Four-Legged Jar (Yonsoku-tsubo),Jar,Asian Art,Stoneware with green glaze and relief decoration (Sanage ware),899,
Tankard (Schnelle),Tankard,European Sculpture and Decorative Arts,Salt-glazed stoneware; pewter,1585,Hans Hilgers
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with underglaze “scratch blue” decoration,1775,
Teapot,Teapot,European Sculpture and Decorative Arts,Salt-glazed stoneware with underglaze “scratch blue” decoration,1745,
Tea caddy incised with “Elizabeth Floud 1767”,Tea caddy,European Sculpture and Decorative Arts,Salt-glazed stoneware with underglaze “scratch blue” decoration,1772,
Bowl with splashed spots,Bowl,Asian Art,Stoneware with iron-oxide slip and glaze (Cizhou-type ware),1299,
Sake Bottle (Tokkuri) in the Shape of an Eggplant,Water bottle,Asian Art,Stoneware with iridescent iron glaze and rice straw ash (Bairin ware),1899,
Vase with flowering plum,Vase,Asian Art,"Stoneware with reserved, carved, and painted decoration on brown glaze (Jizhou ware)",1279,
Bottoms-up cup or stirrup cup (Sturzbecher),Bottoms-up cup or stirrup cup,European Sculpture and Decorative Arts,Salt-glazed stoneware,1575,
Water-Dropper (Suiteki) in Raccoon Dog Shape,Water dropper,Asian Art,"Stoneware with iron under feldspar glaze (Mino ware, E-Shino type)",1615,
Pilgrim bottle with cover,Pilgrim bottle with cover,European Sculpture and Decorative Arts,Red stoneware with black glaze and unfired colors,1720,Meissen Manufactory
Sake Bottle (Tokkuri) with Seasonal Vignettes,Saki bottle,Asian Art,Stoneware with polychrome enamels and gold over transparent glaze (Ko-Kiyomizu ware),1699,
Sake Bottle (Tokkuri) with Seasonal Vignettes,Saki bottle,Asian Art,Stoneware with polychrome enamels and gold over transparent glaze (Ko-Kiyomizu ware),1699,
Ishizara with Stylized Human Face,Plate,Asian Art,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),1833,
One from set of five squared food vessels (mukōzuke) for tea-gathering meal,Food vessel,Asian Art,"Stoneware with iron-oxide and copper green overglaze decoration (Mino ware, Yashichida Oribe type)",1633,
One from set of five squared food vessels (mukōzuke) for tea-gathering meal,Food vessel,Asian Art,"Stoneware with iron-oxide and copper green overglaze decoration (Mino ware, Yashichida Oribe type)",1633,
One from set of five squared food vessels (mukōzuke) for tea-gathering meal,Food vessel,Asian Art,"Stoneware with iron-oxide and copper green overglaze decoration (Mino ware, Yashichida Oribe type)",1633,
One from set of five squared food vessels (mukōzuke) for tea-gathering meal,Food vessel,Asian Art,"Stoneware with iron-oxide and copper green overglaze decoration (Mino ware, Yashichida Oribe type)",1633,
One from set of five squared food vessels (mukōzuke) for tea-gathering meal,Food vessel,Asian Art,"Stoneware with iron-oxide and copper green overglaze decoration (Mino ware, Yashichida Oribe type)",1633,
Shigaraki Tea Jar (Chatsubo),Jar,Asian Art,"Stoneware with natural ash glaze; gold lacquer repairs (Kyoto ware, Shigaraki type)",1699,
"Large Dish (Ōzara) with Peony, Butterfly, and Insects",Dish,Asian Art,"Porcelaneous stoneware with cobalt blue under transparent glaze (Hizen ware, Arita type)",1643,
Freshwater Jar (Mizusashi) with Plants and Auspicious Motifs,Water jar,Asian Art,"Porcelaneous stoneware with cobalt blue under transparent glaze with applied decoration (Hizen ware, Arita type)",1643,
Ishizara with Rabbit Jumping Over a Stream,Plate,Asian Art,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),1833,
"shizara with Kitchenware, Sake Vessels, and Character for “Sake”",Plate,Asian Art,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),1833,
Ishizara with Warbler on a Flowering Plum Branch,Plate,Asian Art,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),1833,
Brown Oribe Flower Holder (Hanaire) with Handles,Flower holder,Asian Art,"Stoneware with natural ash, feldspar, and iron glaze (Mino ware, Kuro-Oribe type)",1615,
Nanban Freshwater Jar (Mizusashi) with Large Handles,Water Jar,Asian Art,Stoneware with natural ash glaze (Kyoto ware),1699,Nonomura Ninsei
Fireplace surround,Fireplace surround,European Sculpture and Decorative Arts,Glazed stoneware,1905,Jean-Désiré Muller
Freshwater Jar (Mizusashi) with Insect Procession,Freshwater jar,Asian Art,"Stoneware with polychrome enamels and gold over transparent glaze; wood lid, ivory knob (Makuzu ware)",1889,Makuzu Kōzan I (Miyagawa Toranosuke)
Two-tiered box with Oribe glaze,Box,Asian Art,Stoneware with iron-oxide and coppergreen overglaze decoration and gold lacquer repairs (Oribe ware),2007,Suzuki Gorō
Freshwater Jar (Mizusashi) with Geometric Patterns,Freshwater jar,Asian Art,Stoneware with polychrome enamels under transparent glaze (Kyoto ware); wood with black lacquer lid,1749,Ogata Ihachi (Kyoto Kenzan II)
Sake Cup (Guinomi),Sake cup,Asian Art,Stoneware with ash and iron glaze (Karatsu ware); silver lacquer repairs,1633,
Dish with Gingko Leaves,Dish,Asian Art,Stoneware with brushed white slip and copper green and iron brown under transparent glaze (Utsutsugawa ware),1733,
Ishizara with Maple Leaves Drifting on a Stream,Plate,Asian Art,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),1833,
Ishizara with Pine Tree,Plate,Asian Art,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),1833,
,Dish,Asian Art,"Stoneware with iron brown under transparent glaze and copper-green glaze (Mino ware, Oribe type)",1633,
Bird-shaped vessel,Vessel,Asian Art,Earthenware,299,
Jug,Jug,The Cloisters,Tin-glazed earthenware,1499,
Dish,Dish,The Cloisters,Tin-glazed earthenware,1450,
Two-Handled Jar,Jar,Medieval Art,Tin-glazed earthenware,1450,
Lantern for a Lamp,Lantern,Islamic Art,"Earthenware; carved decoration, unglazed",999,
Jar (Hu),Jar,Asian Art,Earthenware with painted decoration,-2300,
Bowl with a Horseman Spearing a Serpent,Bowl,Medieval Art,Tin-glazed earthenware,1425,
Plate with the Arms of Blanche of Navarre,Plate,The Cloisters,Tin-glazed earthenware,1438,
Jug,Jug,Medieval Art,Partially glazed earthenware,1325,
Pitcher,Pitcher,The Cloisters,Tin-glazed earthenware,1435,
Display dish with Charles II (1630–1685) in a tree,Charger,European Sculpture and Decorative Arts,Slip-decorated earthenware,1685,Thomas Toft
Bowl with The Virgin and the Unicorn and arms of Matthias Corvinus and Beatrice of Aragon,Bowl,European Sculpture and Decorative Arts,Maiolica (tin-glazed earthenware),1493,
Apothecary jar (orciuolo),Apothecary jar,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1433,Giunta di Tugio
Bowl Emulating Chinese Stoneware,Bowl,Islamic Art,Earthenware; painted in blue on opaque white glaze,899,
